Scenario,Week,SKU,Forecast,Actual,BeginningStock,EndingStock,Fulfilled,LostSales,StockoutFlag,OrderPlacedQty,HoldingCost,OrderingCost,PM_new_service,PM_early_trigger,PM_relax_cap,PM_uplift_pct
Baseline,45,Apollinaris,849.1057408393858,775.0,3427.0,2652.0,775.0,0.0,0,0.0,170.14682972770544,0.0,0.99,False,1.0,0.0
Baseline,45,Augustiner,418.525190392055,338.0,1473.0,1135.0,338.0,0.0,0,0.0,45.3731850816204,0.0,0.85,False,1.0,0.0
Baseline,45,Bacardi,454.84766784917565,215.0,1478.0,1263.0,215.0,0.0,0,0.0,29.59543545507047,0.0,0.85,False,1.0,0.0
Baseline,45,Beck's,493.8998304616479,603.0,1590.0,987.0,603.0,0.0,0,2147.0,26.007453367990948,100.0,0.85,False,1.0,0.0
Baseline,45,Chardonnay,315.5197393007048,292.0,1402.0,1110.0,292.0,0.0,0,0.0,83.08465887128126,0.0,0.92,False,1.0,0.0
Baseline,45,Club Mate,629.9070312422587,560.0,2470.0,1910.0,560.0,0.0,0,0.0,157.43854120605064,0.0,0.99,False,1.0,0.0
Baseline,45,Coca-Cola,678.4338668438779,696.0,2490.0,1794.0,696.0,0.0,0,1523.0,116.15849028999804,100.0,0.99,False,1.0,0.0
Baseline,45,Cranberry Juice,1234.8094523781283,1506.0,4230.0,2724.0,1506.0,0.0,0,1957.0,213.19958899277094,100.0,0.99,False,1.0,0.0
Baseline,45,Erdinger Weißbier,464.05571110211326,270.0,1598.0,1328.0,270.0,0.0,0,0.0,74.01865552964887,0.0,0.92,False,1.0,0.0
Baseline,45,Evian,802.2872064771296,487.0,3419.0,2932.0,487.0,0.0,0,0.0,232.37437394642643,0.0,0.99,False,1.0,0.0
Baseline,45,Fanta,704.722824546728,660.0,2654.0,1994.0,660.0,0.0,0,0.0,154.07944191029466,0.0,0.99,False,1.0,0.0
Baseline,45,Fritz-Kola,563.1757374261077,908.0,2634.0,1726.0,908.0,0.0,0,2801.0,42.26749598293786,100.0,0.85,False,1.0,0.0
Baseline,45,Gerolsteiner,993.0344878910583,1173.0,3497.0,2324.0,1173.0,0.0,0,1610.0,199.94087386585312,100.0,0.99,False,1.0,0.0
Baseline,45,Granini Apple,948.2617152367756,758.0,3588.0,2830.0,758.0,0.0,0,0.0,67.92939102818664,0.0,0.92,False,1.0,0.0
Baseline,45,Havana Club,364.2906559281591,511.0,1503.0,992.0,511.0,0.0,0,1147.0,76.5045290050782,100.0,0.92,False,1.0,0.0
Baseline,45,Hohes C Orange,1092.1561615553405,1251.0,4176.0,2925.0,1251.0,0.0,0,2775.0,104.25953543938766,100.0,0.99,False,1.0,0.0
Baseline,45,Jack Daniels,402.4968149831034,342.0,1673.0,1331.0,342.0,0.0,0,0.0,103.68238892516518,0.0,0.99,False,1.0,0.0
Baseline,45,Jever,384.18180625741735,537.0,1502.0,965.0,537.0,0.0,0,1263.0,62.25340856791854,100.0,0.92,False,1.0,0.0
Baseline,45,Johnnie Walker,342.0655803862601,317.0,1369.0,1052.0,317.0,0.0,0,0.0,44.20968712474063,0.0,0.85,False,1.0,0.0
Baseline,45,Krombacher,375.8667028819139,322.0,1575.0,1253.0,322.0,0.0,0,0.0,61.673830621547445,0.0,0.92,False,1.0,0.0
Baseline,45,Kölsch,395.1756472653298,488.0,1367.0,879.0,488.0,0.0,0,1929.0,23.430941770943555,100.0,0.85,False,1.0,0.0
Baseline,45,Mango Juice,1166.7694206605197,1318.0,4091.0,2773.0,1318.0,0.0,0,2893.0,90.60808874691367,100.0,0.99,False,1.0,0.0
Baseline,45,Merlot,407.6279755804025,154.0,1658.0,1504.0,154.0,0.0,0,0.0,91.57253074792094,0.0,0.92,False,1.0,0.0
Baseline,45,Mezzo Mix,579.3280543858939,603.0,2566.0,1963.0,603.0,0.0,0,0.0,128.099652824609,0.0,0.99,False,1.0,0.0
Baseline,45,Monster,568.5327766164182,568.0,2356.0,1788.0,568.0,0.0,0,0.0,113.40834332629758,0.0,0.99,False,1.0,0.0
Baseline,45,Mountain Dew,547.6003132164668,515.0,2313.0,1798.0,515.0,0.0,0,0.0,85.02783919915201,0.0,0.99,False,1.0,0.0
Baseline,45,Moët & Chandon,466.71167493020215,400.0,1705.0,1305.0,400.0,0.0,0,0.0,115.52697807862093,0.0,0.99,False,1.0,0.0
Baseline,45,Passion Fruit Juice,1169.539323707642,1435.0,4148.0,2713.0,1435.0,0.0,0,1739.0,260.09167094260715,100.0,0.99,False,1.0,0.0
Baseline,45,Pepsi,602.8492596020776,232.0,2524.0,2292.0,232.0,0.0,0,0.0,141.54529415170268,0.0,0.99,False,1.0,0.0
Baseline,45,Rauch Multivitamin,965.7254892561442,1104.0,3971.0,2867.0,1104.0,0.0,0,1941.0,194.05309224382677,100.0,0.99,False,1.0,0.0
Baseline,45,Red Bull,614.5154901705218,475.0,2360.0,1885.0,475.0,0.0,0,0.0,125.11893378673965,0.0,0.99,False,1.0,0.0
Baseline,45,Riesling,521.8670543352853,540.0,1586.0,1046.0,540.0,0.0,0,1449.0,54.83580349749042,100.0,0.92,False,1.0,0.0
Baseline,45,Rockstar,610.1287479053867,751.0,2278.0,1527.0,751.0,0.0,0,2150.0,51.41467889260407,100.0,0.92,False,1.0,0.0
Baseline,45,Rotkäppchen Sekt,492.16526089638455,567.0,1823.0,1256.0,567.0,0.0,0,1204.0,93.68642113819936,100.0,0.99,False,1.0,0.0
Baseline,45,San Pellegrino,1029.1114683492033,1005.0,3278.0,2273.0,1005.0,0.0,0,1868.0,137.4973608864256,100.0,0.99,False,1.0,0.0
